location,count,ratio
"Tòa QTSC 9 ( Orbital ), công viên phần mềm Quang Trung, Quận 12, TP Hồ Chí Minh | Tầng 4, 6 và 7, QTSC Building 1, Lô 34, đường số 14, Công viên phần mềm Quang Trung - phường Tân Chánh Hiệp - Quận 12 - TP Hồ Chí Minh.",150,0.00027462970761090463
"163 Phan Đăng Lưu, P1, Q.Phú Nhuận, TP.HCM",150,0.00027462970761090463
"Số 9, Đào Duy Anh, Phương Liên, Đống Đa, Hà Nội",148,0.0002709679781760926
"Cổng D6, The Crest, Metropole Thủ Thiêm - 15 Trần Bạch Đằng, Thủ Thiêm, Thành Phố Thủ Đức",141,0.00025815192515425033
Hưng Yên,138,0.0002526593310020323
"519 Kim Mã | Tầng 8, tầng 9, tầng 10 tòa nhà số 24C đường Phan Đăng Lưu, Phường Gia Định, TP Hồ Chí Minh, Việt Nam",138,0.0002526593310020323
"6A3 Quốc lộ 60, phường Phú Tân, thành phố Bến Tre",138,0.0002526593310020323
"Tầng 13, Toà nhà AB Tower, 76A, Lê Lai, Phường Phạm Ngũ Lão, Quận 1, TPHCM, Việt Nam",138,0.0002526593310020323
"149C Đường Trương Định, Phường 09, Quận 3, Thành phố Hồ Chí Minh, Việt Nam",138,0.0002526593310020323
"62A Cách Mạng Tháng 8, Phường Võ Thị Sáu, Quận 3, TP.HCM",135,0.0002471667368498142
"Lô 10-1, Đường N8, KCN Phước Đông, Đôn Thuận | Lô 10-1 Đường N8, Khu Công nghiệp Phước Đông, Xã Đôn Thuận, Huyện Trảng Bàng, Tỉnh Tây Ninh",134,0.00024533587213240813
"Tòa Nhà Tứ Hiệp Palaza, KDT Pháp Vân, Hà Nội",133,0.0002435050074150021
"975 Giải Phóng | Phòng 310, Tầng 3, Số 358 đường Giải Phóng, Phường Phương Liệt, Quận Thanh Xuân, Thành phố Hà Nội, Việt Nam",130,0.000238012413262784
Cần Thơ,130,0.000238012413262784
"Lô C-02-1, khu công nghiệp Đức Hòa 1, Ấp 5, Xã Đức Hòa Đông, Huyện Đức Hoà, Tỉnh Long An, Việt Nam",130,0.000238012413262784
"Tòa Nhà QCoop Building Số 1129/12/20 Lạc Long Quân, P11, Quận Tân Bình | P901, Tầng 9 Tòa nhà Sky City Tower A, Số 88 Láng Hạ, Phường Láng Hạ, Quận Đống đa, Hà Nội",129,0.00023618154854537798
"Tầng 6, Tòa Nhà Toyota, 315 Trường Chinh, Thanh Xuân, Hà Nội",127,0.00023251981911056593
"58/2A Hoàng Hoa Thám , Phường12 , Quận Tân Bình, TPHCM | P901, Tầng 9 Tòa nhà Sky City Tower A, Số 88 Láng Hạ, Phường Láng Hạ, Quận Đống đa, Hà Nội",127,0.00023251981911056593
"GẦN ĐẠI HỌC RMIT - Nhà số 04, đường số 04, Khu biệt thự Sông Ông Lớn, Bình Hưng, Bình Chánh, TP.HCM",125,0.00022885808967575385
"Tầng 2, Tòa nhà REE Tower, số 09 đường Đoàn Văn Bơ, phường 12, quận 4, TP.HCM, Việt Nam",124,0.00022702722495834783
"24C Phan Đăng Lưu, phường 6 | Tầng 8, tầng 9, tầng 10 tòa nhà số 24C đường Phan Đăng Lưu, Phường Gia Định, TP Hồ Chí Minh, Việt Nam",123,0.0002251963602409418
"248A Nơ Trang Long, Phường 12, Quận Bình Thạnh",122,0.00022336549552353578
"Tòa QTSC 9 ( Orbital ), công viên phần mềm Quang Trung | Tầng 4, 6 và 7, QTSC Building 1, Lô 34, đường số 14, Công viên phần mềm Quang Trung - phường Tân Chánh Hiệp - Quận 12 - TP Hồ Chí Minh.",122,0.00022336549552353578
"Tòa nhà Sohobiz, 38 Huỳnh Lan Khanh, Phường 2, Quận Tân Bình | Lầu 10, Tòa nhà Scetpa, 19A Cộng Hòa, Phường 12, Q.Tân Bình, TP.HCM",121,0.00022153463080612973
